"Episode","Title","Restaurant","Location","Original Air Date"
1,"Classics","Mac & Ernie's","Tarpley, Texas","April 23, 2007"
1,"Classics","Brint's Diner","Wichita, Kansas","April 23, 2007"
1,"Classics","Mad Greek's Diner","Baker, California","April 23, 2007"
2,"That's Italian","Pizza Palace","Knoxville, Tennessee","April 30, 2007"
2,"That's Italian","Hullabaloo Diner","Wellborn, Texas","April 30, 2007"
2,"That's Italian","Four Kegs Sports Pub","Las Vegas, Nevada","April 30, 2007"
3,"Blue Plate Special","Patrick's Roadhouse","Santa Monica, California","May 7, 2007"
3,"Blue Plate Special","Frosted Mug","Alsip, Illinois","May 7, 2007"
3,"Blue Plate Special","The Penguin","Charlotte, North Carolina","May 7, 2007"
4,"Breakfast","Frank's Diner","Kenosha, Wisconsin","May 21, 2007"
4,"Breakfast","Gaffey Street Diner","San Pedro, California","May 21, 2007"
4,"Breakfast","The Coffee Cup","Boulder City, Nevada","May 21, 2007"
5,"BBQ","Baby Blues BBQ","Venice, California","May 28, 2007"
5,"BBQ","Louie Mueller BBQ","Taylor, Texas","May 28, 2007"
5,"BBQ","Barbecue King Drive-In","Charlotte, North Carolina","May 28, 2007"
6,"Local Legends","Eveready Diner","Hyde Park, New York","June 4, 2007"
6,"Local Legends","Leo's BBQ","Oklahoma City, Oklahoma","June 4, 2007"
6,"Local Legends","A1 Diner","Gardiner, Maine","June 4, 2007"
7,"Burgers","Triple XXX Restaurant","West Lafayette, Indiana","June 11, 2007"
7,"Burgers","Hackney's","Glenview, Illinois","June 11, 2007"
7,"Burgers","Squeeze Inn","Sacramento, California","June 11, 2007"
8,"House Specials","Red Arrow Diner","Manchester, New Hampshire","June 18, 2007"
8,"House Specials","Hank's Creekside Restaurant","Santa Rosa, California","June 18, 2007"
8,"House Specials","Voula's Offshore Café","Seattle, Washington","June 18, 2007"
9,"Retro","Southside Soda Shop and Diner","Goshen, Indiana","July 9, 2007"
9,"Retro","Taylor's Automatic Refresher","St. Helena, California","July 9, 2007"
9,"Retro","Byways Café","Portland, Oregon","July 9, 2007"
10,"Worth the Trip","Big Star Diner","Bainbridge Island, Washington","July 16, 2007"
10,"Worth the Trip","Harold's Café","Gaffney, South Carolina","July 16, 2007"
10,"Worth the Trip","Mo Gridder's BBQ","Bronx, New York","July 16, 2007"
11,"Diners A-Plenty","Kelly's Diner","Somerville, Massachusetts","July 23, 2007"
11,"Diners A-Plenty","Bay Way Diner","Linden, New Jersey","July 23, 2007"
11,"Diners A-Plenty","Beacon Drive-In","Spartanburg, South Carolina","July 23, 2007"
12,"American Cookin'","Rosie's Diner","Rockford, Michigan","July 30, 2007"
12,"American Cookin'","Dari-ette Drive-In","St. Paul, Minnesota","July 30, 2007"
12,"American Cookin'","The Russian River Pub","Forestville, California","July 30, 2007"
12,"American Cookin'","Al's Breakfast","Minneapolis, Minnesota","July 30, 2007"
1,"Totally Fried","Falafel's Drive-In","San Jose, California","October 1, 2007"
1,"Totally Fried","Ramona Café","Ramona, California","October 1, 2007"
1,"Totally Fried","Silk City Diner","Philadelphia, Pennsylvania","October 1, 2007"
2,"Route 66","Emma Jean's Holland Burger Café","Victorville, California","October 8, 2007"
2,"Route 66","The Rock Café","Stroud, Oklahoma","October 8, 2007"
2,"Route 66","Café on the Route","Baxter Springs, Kansas","October 8, 2007"
3,"Seaside Eats","Evelyn's Drive-In","Tiverton, Rhode Island","October 15, 2007"
3,"Seaside Eats","Hodad's","Ocean Beach, California","October 15, 2007"
3,"Seaside Eats","Keegan's Seafood Grille","Indian Rocks Beach, Florida","October 15, 2007"
4,"Local Flavors","Clanton's Café","Vinita, Oklahoma","October 22, 2007"
4,"Local Flavors","Mike's Chili Parlor","Seattle, Washington","October 22, 2007"
4,"Local Flavors","Duarte's Tavern","Pescadero, California","October 22, 2007"
5,"Viewer's Choice","Bobby's Hawaiian Style Restaurant","Everett, Washington","October 29, 2007"
5,"Viewer's Choice","Ted Peters Famous Smoked Fish","South Pasadena, Florida","October 29, 2007"
